	gene_id_FLU_27_S195_
AGAP1_IT1	0
AGAP11	0
AGAP2	300
AGAP2_AS1	0
AGAP3	59
AGAP4	43
AGAP5	25
AGAP6	46
AGAP7P	21
AGAP9	18
AGBL1	0
AGBL1_AS1	0
AGBL2	4
AGBL3	13
AGBL4	0
AGBL4_IT1	0
AGBL5	65
AGBL5_AS1	0
AGER	128
AGFG1	2116
AGFG2	44
AGGF1	567
AGK	99
AGL	223
AGMAT	18
AGMO	1
AGO1	695
AGO2	810
AGO3	320
AGO4	3868
AGPAT1	174
AGPAT2	207
AGPAT3	679
AGPAT4	142
AGPAT4_IT1	20
AGPAT5	53
AGPS	431
AGR2	2
AGR3	0
AGRN	27
AGRP	5
AGT	0
AGTPBP1	3870
AGTR1	0
AGTR2	0
AGTRAP	784
AGXT	0
AGXT2	0
AHCTF1	1850
AHCTF1P1	17
AHCY	104
AHCYL1	624
AHCYL2	115
AHDC1	27
AHI1	7
AHNAK	32578
AHNAK2	5
AHR	765
AHRR	2
AHSA1	276
AHSA2	356
AHSG	0
AHSP	139
AICDA	0
AIDA	341
AIF1	4070
AIF1L	0
AIFM1	122
AIFM2	4
AIFM3	19
AIG1	162
AIM1	3443
AIM1L	4
AIM2	973
AIMP1	157
AIMP2	15
AIP	168
AIPL1	0
AIRE	1
AIRN	15
AJAP1	3
AJUBA	8
AK1	129
AK2	421
AK3	119
AK4	13
AK5	12
AK6	26
AK7	1
AK8	0
AK9	99
AKAP1	43
AKAP10	834
AKAP11	524
AKAP12	41
AKAP13	11133
AKAP14	2
AKAP17A	660
AKAP2	0
AKAP3	0
AKAP4	0
AKAP5	16
AKAP6	22
AKAP7	334
AKAP8	227
AKAP8L	410
AKAP9	1786
AKIP1	11
AKIRIN1	743
AKIRIN2	1092
AKNA	3687
AKNAD1	3
AKR1A1	184
AKR1B1	61
AKR1B10	0
AKR1B15	0
AKR1C1	8
AKR1C2	7
AKR1C3	31
AKR1C4	0
AKR1C6P	1
AKR1C8P	1
AKR1D1	0
AKR1E2	43
AKR7A2	59
AKR7A2P1	0
AKR7A3	0
AKR7L	0
AKT1	493
AKT1S1	33
AKT2	659
AKT3	237
AKTIP	269
ALAD	203
ALAS1	461
ALAS2	13856
ALB	2
ALCAM	548
ALDH16A1	123
ALDH18A1	53
ALDH1A1	122
ALDH1A2	6
ALDH1A3	2
ALDH1B1	14
ALDH1L1	0
ALDH1L1_AS1	0
ALDH1L1_AS2	0
ALDH1L2	12
ALDH2	754
ALDH3A1	0
ALDH3A2	154
ALDH3B1	558
ALDH3B2	0
ALDH4A1	15
ALDH5A1	142
ALDH6A1	63
ALDH7A1	0
ALDH8A1	4
ALDH9A1	399
ALDOA	5703
ALDOB	0
ALDOC	55
ALG1	30
ALG10	59
ALG10B	35
ALG11	41
ALG12	86
ALG13	156
ALG14	17
ALG1L	0
ALG1L2	1
ALG1L9P	0
ALG2	100
ALG3	38
ALG5	47
ALG6	130
ALG8	32
ALG9	43
ALK	8
ALKBH1	53
ALKBH2	7
ALKBH3	57
ALKBH3_AS1	7
ALKBH4	58
ALKBH5	485
ALKBH6	29
ALKBH7	38
ALKBH8	46
ALLC	0
ALMS1	375
ALMS1_IT1	2
ALMS1P	39
ALOX12	139
ALOX12_AS1	17
ALOX12B	0
ALOX12P2	0
ALOX15	16
ALOX15B	1
ALOX15P1	0
ALOX5	8306
ALOX5AP	1213
ALOXE3	0
ALPI	0
ALPK1	4002
ALPK2	2
ALPK3	27
ALPL	9249
ALPP	0
ALPPL2	0
ALS2	148
ALS2CL	5
ALS2CR11	6
ALS2CR12	452
ALX1	0
ALX3	16
ALX4	1
ALYREF	106
AMACR	15
AMBN	0
AMBP	1
AMBRA1	290
AMD1	1556
AMDHD1	9
AMDHD2	42
AMELX	0
AMELY	0
AMER1	32
AMER2	0
AMER3	0
AMFR	804
AMH	4
AMHR2	0
AMICA1	6660
AMIGO1	19
AMIGO2	34
AMIGO3	11
AMMECR1	193
AMMECR1L	145
AMN	3
AMN1	192
AMOT	20
AMOTL1	24
AMOTL2	0
AMPD1	0
AMPD2	1618
AMPD3	1087
AMPH	4
AMT	39
AMTN	0
AMY1A	0
AMY1B	0
AMY1C	0
AMY2A	0
AMY2B	70
AMZ1	5
AMZ2	241
AMZ2P1	53
ANAPC1	150
ANAPC10	56
ANAPC11	63
ANAPC13	427
ANAPC15	20
ANAPC16	607
ANAPC1P1	2
ANAPC2	112
ANAPC4	245
ANAPC5	468
ANAPC7	303
ANG	0
ANGEL1	44
ANGEL2	265
ANGPT1	28
ANGPT2	7
ANGPT4	0
ANGPTL1	61
ANGPTL2	7
ANGPTL3	4
ANGPTL4	2
ANGPTL5	0
ANGPTL6	4
ANGPTL7	7
ANHX	0
ANK1	1578
ANK2	0
ANK3	139
ANKAR	78
ANKDD1A	75
ANKDD1B	5
ANKEF1	12
ANKFN1	0
ANKFY1	1845
ANKH	321
ANKHD1	88
ANKHD1_EIF4EBP3	7
ANKIB1	583
ANKK1	0
ANKLE1	13
ANKLE2	593
ANKMY1	58
ANKMY2	84
ANKRA2	157
ANKRD1	0
ANKRD10	628
ANKRD11	1163
ANKRD12	3243
ANKRD13A	5558
ANKRD13B	0
ANKRD13C	203
ANKRD13D	777
ANKRD16	11
ANKRD17	1503
ANKRD18A	16
ANKRD18B	0
ANKRD18DP	1
ANKRD19P	12
ANKRD2	0
ANKRD20A1	0
ANKRD20A11P	0
ANKRD20A12P	0
ANKRD20A19P	0
ANKRD20A2	0
ANKRD20A3	0
ANKRD20A4	13
ANKRD20A5P	1
ANKRD20A8P	3
ANKRD20A9P	1
ANKRD22	953
ANKRD23	16
ANKRD24	1
ANKRD26	91
ANKRD26P1	3
ANKRD26P3	0
ANKRD27	339
ANKRD28	999
ANKRD29	1
ANKRD30A	0
ANKRD30B	0
ANKRD30BL	0
ANKRD30BP2	0
ANKRD30BP3	0
ANKRD31	4
ANKRD33	0
ANKRD33B	193
ANKRD34A	1
ANKRD34B	90
ANKRD34C	0
ANKRD34C_AS1	0
ANKRD35	3
ANKRD36	129
ANKRD36B	45
ANKRD36BP1	313
ANKRD36BP2	1752
ANKRD36C	139
ANKRD37	1
ANKRD39	11
ANKRD40	144
ANKRD42	58
ANKRD44	5114
ANKRD44_IT1	189
ANKRD45	0
ANKRD46	24
ANKRD49	270
ANKRD50	342
ANKRD52	136
ANKRD53	4
ANKRD54	20
ANKRD55	21
ANKRD6	33
ANKRD60	0
ANKRD61	5
ANKRD62	0
ANKRD62P1_PARP4P3	1
ANKRD63	0
ANKRD65	0
ANKRD66	0
ANKRD7	0
ANKRD9	13
ANKS1A	750
ANKS1B	0
ANKS3	15
ANKS4B	0
ANKS6	7
ANKUB1	5
ANKZF1	254
ANLN	81
ANO1	0
ANO1_AS2	0
ANO10	280
ANO2	3
ANO3	0
ANO4	0
ANO5	27
ANO6	1173
ANO7	0
ANO8	40
ANO9	19
ANOS1	8
ANP32A	1287
ANP32A_IT1	183
ANP32AP1	0
ANP32B	333
ANP32C	0
ANP32D	0
ANP32E	430
ANPEP	2111
ANTXR1	1
ANTXR2	1932
ANTXRL	0
ANTXRLP1	9
ANXA1	8019
ANXA10	4
ANXA11	3222
ANXA13	0
ANXA2	2623
ANXA2P1	0
ANXA2P2	11
ANXA2P3	0
ANXA2R	43
ANXA3	3712
ANXA4	259
ANXA5	2965
ANXA6	1151
ANXA7	924
ANXA8	1
ANXA8L1	9
ANXA9	84
AOAH	2135
AOAH_IT1	26
AOC1	386
AOC2	23
AOC3	33
AOC4P	0
AOX1	2
AOX2P	0
AP1AR	176
AP1B1	554
AP1B1P1	0
AP1G1	1204
AP1G2	221
AP1M1	507
AP1M2	7
AP1S1	11
AP1S2	971
AP1S3	35
AP2A1	1239
AP2A2	263
AP2B1	1996
AP2M1	1666
AP2S1	244
AP3B1	1385
AP3B2	39
AP3D1	997
AP3M1	396
AP3M2	45
AP3S1	484
AP3S2	20
AP4B1	73
AP4B1_AS1	7
AP4E1	144
AP4M1	26
AP4S1	90
AP5B1	3417
AP5M1	530
AP5S1	35
AP5Z1	188
APAF1	2515
APBA1	0
APBA2	60
APBA3	74
APBB1	24
APBB1IP	5352
APBB2	26
APBB3	50
APC	2556
APC2	31
APCDD1	1
APCDD1L	6
APCDD1L_AS1	0
APCS	0
APEH	284
APELA	0
APEX1	114
APEX2	53
APH1A	459
APH1B	285
API5	573
APIP	67
APITD1	0
APITD1_CORT	0
APLF	187
APLN	0
APLNR	0
APLP1	0
APLP2	4607
APMAP	1601
APOA1	0
APOA1_AS	2
APOA1BP	30
APOA2	17
APOA4	0
APOA5	0
APOB	0
APOBEC1	0
APOBEC2	20
APOBEC3A	300
APOBEC3A_B	0
APOBEC3B	7
APOBEC3B_AS1	5
APOBEC3C	128
APOBEC3D	75
APOBEC3F	94
APOBEC3G	473
APOBEC3H	8
APOBEC4	3
APOBR	1956
APOC1	0
APOC1P1	0
APOC2	0
APOC3	0
APOC4	0
APOC4_APOC2	0
APOD	1
APOE	0
APOF	13
APOH	0
APOL1	1895
APOL2	1867
APOL3	543
APOL4	44
APOL5	0
APOL6	12590
APOLD1	16
APOM	28
APOO	18
APOOL	103
APOOP5	0
APOPT1	128
APP	681
APPBP2	491
APPL1	407
APPL2	547
APRT	94
APTR	29
APTX	80
AQP1	9
AQP10	29
AQP11	7
AQP12A	0
AQP12B	0
AQP2	1
AQP3	40
AQP4	0
AQP4_AS1	0
AQP5	0
AQP6	0
AQP7	0
AQP7P1	0
AQP7P3	0
AQP8	0
AQP9	17786
AQR	698
AR	5
ARAF	311
ARAP1	7173
ARAP2	1787
ARAP3	878
ARC	0
ARCN1	1434
AREG	3
AREL1	1262
ARF1	2589
ARF3	858
ARF4	516
ARF5	461
ARF6	1044
ARFGAP1	239
ARFGAP2	482
ARFGAP3	634
ARFGEF1	2267
ARFGEF2	482
ARFGEF3	0
ARFIP1	675
ARFIP2	82
ARFRP1	92
ARG1	53
ARG2	97
ARGFX	0
ARGFXP2	19
ARGLU1	616
ARHGAP1	702
ARHGAP10	43
ARHGAP11A	22
ARHGAP11B	7
ARHGAP12	251
ARHGAP15	2131
ARHGAP17	530
ARHGAP18	360
ARHGAP19	268
ARHGAP19_SLIT1	0
ARHGAP20	0
ARHGAP21	279
ARHGAP22	5
ARHGAP23	6
ARHGAP24	205
ARHGAP25	5000
ARHGAP26	6655
ARHGAP26_AS1	25
ARHGAP26_IT1	75
ARHGAP27	1871
ARHGAP28	0
ARHGAP29	14
ARHGAP30	4915
ARHGAP31	312
ARHGAP31_AS1	1
ARHGAP32	80
ARHGAP33	7
ARHGAP35	403
ARHGAP36	0
ARHGAP39	1
ARHGAP4	1098
ARHGAP40	0
ARHGAP42	33
ARHGAP44	2
ARHGAP5	440
ARHGAP5_AS1	1
ARHGAP6	69
ARHGAP8	0
ARHGAP9	4381
ARHGDIA	712
ARHGDIB	10853
ARHGDIG	0
ARHGEF1	1573
ARHGEF10	21
ARHGEF10L	98
ARHGEF11	1724
ARHGEF12	1816
ARHGEF15	0
ARHGEF16	0
ARHGEF17	5
ARHGEF18	894
ARHGEF19	36
ARHGEF2	3063
ARHGEF25	0
ARHGEF26	13
ARHGEF26_AS1	0
ARHGEF28	2
ARHGEF3	1167
ARHGEF3_AS1	0
ARHGEF33	14
ARHGEF34P	2
ARHGEF35	3
ARHGEF37	27
ARHGEF38	0
ARHGEF38_IT1	0
ARHGEF39	7
ARHGEF4	0
ARHGEF40	1382
ARHGEF5	1
ARHGEF6	2236
ARHGEF7	360
ARHGEF7_AS1	0
ARHGEF7_AS2	0
ARHGEF9	44
ARHGEF9_IT1	2
ARID1A	1832
ARID1B	674
ARID2	753
ARID3A	272
ARID3B	443
ARID3C	0
ARID4A	1339
ARID4B	2707
ARID5A	414
ARID5B	571
ARIH1	883
ARIH2	336
ARIH2OS	12
ARL1	105
ARL10	9
ARL11	695
ARL13A	15
ARL13B	65
ARL14	0
ARL14EP	118
ARL14EPL	0
ARL15	175
ARL16	45
ARL17A	47
ARL17B	0
ARL2	10
ARL2_SNX15	0
ARL2BP	210
ARL3	148
ARL4A	159
ARL4C	300
ARL4D	2
ARL5A	287
ARL5B	217
ARL5C	0
ARL6	2
ARL6IP1	1102
ARL6IP4	364
ARL6IP5	3259
ARL6IP6	135
ARL8A	492
ARL8B	808
ARL9	2
ARMC1	114
ARMC10	119
ARMC12	0
ARMC2	87
ARMC2_AS1	1
ARMC3	16
ARMC4	1
ARMC5	38
ARMC6	66
ARMC7	118
ARMC8	776
ARMC9	4
ARMCX1	6
ARMCX2	11
ARMCX3	192
ARMCX4	10
ARMCX5	34
ARMCX5_GPRASP2	3
ARMCX6	34
ARMS2	0
ARMT1	335
ARNT	742
ARNT2	3
ARNTL	674
ARNTL2	43
ARNTL2_AS1	0
ARPC1A	426
ARPC1B	4937
ARPC2	5587
ARPC3	4451
ARPC4	787
ARPC4_TTLL3	0
ARPC5	6745
ARPC5L	90
ARPIN	20
ARPP19	1081
ARPP21	0
ARR3	4
ARRB1	946
ARRB2	4163
ARRDC1	199
ARRDC1_AS1	24
ARRDC2	323
ARRDC3	2735
ARRDC3_AS1	15
ARRDC4	969
ARRDC5	27
ARSA	229
ARSB	767
ARSD	256
ARSE	6
ARSF	0
ARSG	241
ARSH	0
ARSI	0
ARSJ	0
ARSK	5
ART1	1
ART3	0
ART4	4
ART5	0
ARTN	0
ARV1	41
ARVCF	1
ARX	0
AS3MT	0
ASAH1	7158
ASAH2	0
ASAH2B	0
ASAP1	4614
ASAP1_IT1	60
ASAP1_IT2	65
ASAP2	130
ASAP3	5
ASB1	115
ASB10	0
ASB11	0
ASB12	0
ASB13	33
ASB14	35
ASB15	0
ASB16	3
ASB16_AS1	40
ASB17	0
ASB18	0
ASB2	3
ASB3	18
ASB4	0
ASB5	0
ASB6	152
ASB7	378
ASB8	537
ASB9	0
ASB9P1	12
ASCC1	152
ASCC2	2799
ASCC3	704
ASCL1	0
ASCL2	10
ASCL3	0
ASCL4	0
ASCL5	0
ASF1A	115
ASF1B	31
ASGR1	58
ASGR2	232
ASH1L	2300
ASH1L_AS1	13
ASH2L	920
ASIC1	0
ASIC2	0
ASIC3	0
ASIC4	0
ASIC5	0
ASIP	0
ASL	115
ASMT	0
ASMTL	74
ASMTL_AS1	15
ASNA1	192
ASNS	61
ASNSD1	344
ASPA	0
ASPDH	0
ASPG	1
ASPH	936
ASPHD1	0
ASPHD2	132
ASPM	75
ASPN	4
ASPRV1	66
ASPSCR1	42
ASRGL1	36
ASS1	0
ASTE1	97
ASTL	0
ASTN1	0
ASTN2	6
ASTN2_AS1	2
ASUN	89
ASXL1	320
ASXL2	929
ASXL3	4
ASZ1	0
ATAD1	270
ATAD2	362
ATAD2B	843
ATAD3A	8
ATAD3B	9
ATAD3C	0
ATAD5	220
ATAT1	12
ATCAY	0
ATE1	290
ATE1_AS1	1
ATF1	224
ATF2	805
ATF3	54
ATF4	759
ATF5	20
ATF6	2961
ATF6B	457
ATF7	317
ATF7IP	2271
ATF7IP2	108
ATG10	36
ATG101	49
ATG12	545
ATG13	599
ATG14	155
ATG16L1	237
ATG16L2	2892
ATG2A	369
ATG2B	660
ATG3	1495
ATG4A	115
ATG4B	225
ATG4C	133
ATG4D	92
ATG5	456
ATG7	552
ATG9A	284
ATG9B	1
ATHL1	900
ATIC	73
ATL1	16
ATL2	154
ATL3	589
ATM	2169
ATMIN	378
ATN1	48
ATOH1	0
ATOH7	1
ATOH8	0
ATOX1	76
ATP10A	90
ATP10B	4
ATP10D	337
ATP11A	2947
ATP11A_AS1	53
ATP11AUN	0
ATP11B	4175
ATP11C	533
ATP12A	0
ATP13A1	189
ATP13A2	115
ATP13A3	1034
ATP13A4	10
ATP13A4_AS1	0
ATP13A5	0
ATP13A5_AS1	0
ATP1A1	864
ATP1A1_AS1	12
ATP1A2	0
ATP1A3	18
ATP1A4	0
ATP1B1	13
ATP1B2	11
ATP1B3	199
ATP1B4	0
ATP2A1	5
ATP2A1_AS1	0
ATP2A2	697
ATP2A3	1232
ATP2B1	2028
ATP2B2	3
ATP2B2_IT2	0
ATP2B3	0
ATP2B4	2958
ATP2C1	485
ATP2C2	21
ATP4A	0
ATP4B	0
ATP5A1	1234
ATP5B	1586
ATP5C1	641
ATP5D	57
ATP5E	50
ATP5EP2	2
ATP5F1	853
ATP5G1	28
ATP5G2	194
ATP5G3	117
ATP5H	362
ATP5I	104
ATP5J	128
ATP5J2	35
ATP5J2_PTCD1	0
ATP5L	306
ATP5L2	3
ATP5O	314
ATP5S	70
ATP5SL	66
ATP6AP1	530
ATP6AP1L	6
ATP6AP2	1221
ATP6V0A1	642
ATP6V0A2	230
ATP6V0A4	0
ATP6V0B	852
ATP6V0C	821
ATP6V0CP3	0
ATP6V0D1	2477
ATP6V0D2	0
ATP6V0E1	2249
ATP6V0E2	19
ATP6V0E2_AS1	12
ATP6V1A	2184
ATP6V1B1	2
ATP6V1B1_AS1	0
ATP6V1B2	4106
ATP6V1C1	837
ATP6V1C2	2
ATP6V1D	479
ATP6V1E1	1036
ATP6V1E2	14
ATP6V1F	63
ATP6V1G1	1111
ATP6V1G2	0
ATP6V1G2_DDX39B	0
ATP6V1G3	0
ATP6V1H	281
ATP7A	967
ATP7B	15
ATP8A1	960
ATP8A2	0
ATP8B1	73
ATP8B2	212
ATP8B3	13
ATP8B4	887
ATP8B5P	0
ATP9A	243
ATP9B	386
ATPAF1	119
ATPAF2	72
ATPIF1	108
ATR	420
ATRAID	144
ATRIP	126
ATRN	227
ATRNL1	0
ATRX	2091
ATXN1	1545
ATXN10	274
ATXN1L	459
ATXN2	250
ATXN2L	538
ATXN3	435
ATXN3L	0
ATXN7	1602
ATXN7L1	158
ATXN7L2	9
ATXN7L3	922
ATXN7L3B	396
ATXN8OS	0
AUH	47
AUNIP	10
AUP1	458
AURKA	94
AURKAIP1	245
AURKAPS1	35
AURKB	1
AURKC	4
AUTS2	34
AVEN	14
AVIL	221
AVL9	894
AVP	0
AVPI1	2
AVPR1A	10
AVPR1B	0
AVPR2	18
AWAT1	0
AWAT2	0
AXDND1	5
AXIN1	308
AXIN2	13
AXL	2
AZGP1	0
AZGP1P1	0
AZI2	626
AZIN1	1442
AZIN1_AS1	1
AZIN2	0
AZU1	4
B2M	116009
B3GALNT1	5
B3GALNT2	97
B3GALT1	0
B3GALT2	67
B3GALT4	109
B3GALT5	0
B3GALT5_AS1	0
B3GALT6	70
B3GAT1	8
B3GAT2	0
B3GAT3	61
B3GLCT	41
B3GNT2	571
B3GNT3	1
B3GNT4	8
B3GNT5	1068
B3GNT6	2
B3GNT7	4
B3GNT8	149
B3GNT9	10
B3GNTL1	127
B4GALNT1	0
B4GALNT2	0
B4GALNT3	6
B4GALNT4	0
B4GALT1	1322
B4GALT1_AS1	8
B4GALT2	8
B4GALT3	145
B4GALT4	134
B4GALT4_AS1	2
B4GALT5	2495
B4GALT6	16
B4GALT7	31
B4GAT1	14
B9D1	0
B9D2	83
BAALC	1
BAALC_AS1	0
BAALC_AS2	0
BAAT	0
BABAM1	384
BACE1	33
BACE1_AS	3
BACE2	30
BACH1	9265
BACH1_IT2	77
BACH2	93
BAD	68
BAG1	2867
BAG2	23
BAG3	22
BAG4	411
BAG5	480
BAG6	1440
BAGE	0
BAGE2	0
BAGE3	0
BAGE4	0
BAGE5	0
BAHCC1	15
BAHD1	109
BAIAP2	75
BAIAP2_AS1	155
BAIAP2L1	62
BAIAP2L2	1
BAIAP3	22
BAK1	195
BAMBI	1
BANCR	0
BANF1	41
BANF2	0
BANK1	255
BANP	412
BAP1	417
BARD1	196
BARHL1	0
BARHL2	0
BARX1	0
BARX2	0
BASP1	7675
BASP1P1	0
BATF	145
BATF2	272
BATF3	15
BAX	121
BAZ1A	6218
BAZ1B	594
BAZ2A	2246
BAZ2B	2793
BBC3	26
BBIP1	194
BBOX1	0
BBOX1_AS1	0
BBS1	74
BBS10	116
BBS12	13
BBS2	154
BBS4	97
BBS5	0
BBS7	67
BBS9	121
BBX	1346
