	gene_id_Covid7_R1_
AKR1C3	61
AKR1C4	4
AKR1C6P	0
AKR1C8P	1
AKR1D1	0
AKR1E2	3
AKR7A2	53
AKR7A2P1	0
AKR7A3	0
AKR7L	6
AKT1	235
AKT1S1	99
AKT2	163
AKT3	22
AKTIP	14
ALAD	112
ALAS1	93
ALAS2	0
ALB	0
ALCAM	640
ALDH16A1	119
ALDH18A1	82
ALDH1A1	1835
ALDH1A2	1
ALDH1A3	61
ALDH1B1	17
ALDH1L1	133
ALDH1L1_AS1	0
ALDH1L1_AS2	3
ALDH1L2	3
ALDH2	150
ALDH3A1	734
ALDH3A2	279
ALDH3B1	646
ALDH3B2	69
ALDH4A1	22
ALDH5A1	46
ALDH6A1	41
ALDH7A1	40
ALDH8A1	1
ALDH9A1	94
ALDOA	1505
ALDOB	2
ALDOC	2
ALG1	10
ALG10	11
ALG10B	7
ALG11	17
ALG12	12
ALG13	93
ALG14	5
ALG1L	8
ALG1L2	1
ALG1L9P	2
ALG2	41
ALG3	16
ALG5	11
ALG6	5
ALG8	11
ALG9	10
ALK	8
ALKBH1	6
ALKBH2	23
ALKBH3	34
ALKBH3_AS1	0
ALKBH4	15
ALKBH5	342
ALKBH6	20
ALKBH7	52
ALKBH8	31
ALLC	2
ALMS1	145
ALMS1_IT1	11
ALMS1P	10
ALOX12	11
ALOX12_AS1	2
ALOX12B	1
ALOX12P2	17
ALOX15	1902
ALOX15B	3
ALOX15P1	5
ALOX5	18
ALOX5AP	13
ALOXE3	0
ALPI	0
ALPK1	66
ALPK2	1
ALPK3	45
ALPL	64
ALPP	1
ALPPL2	3
ALS2	59
ALS2CL	47
ALS2CR11	0
ALS2CR12	37
ALX1	0
ALX3	10
ALX4	4
ALYREF	116
AMACR	24
AMBN	0
AMBP	6
AMBRA1	71
AMD1	188
AMDHD1	1
AMDHD2	34
AMELX	3
AMELY	0
AMER1	26
AMER2	0
AMER3	0
AMFR	94
AMH	10
AMHR2	0
AMICA1	43
AMIGO1	4
AMIGO2	9
AMIGO3	11
AMMECR1	52
AMMECR1L	31
AMN	28
AMN1	6
AMOT	128
AMOTL1	23
AMOTL2	58
AMPD1	1
AMPD2	68
AMPD3	131
AMPH	3
AMT	6
AMTN	0
AMY1A	0
AMY1B	0
AMY1C	0
AMY2A	0
AMY2B	0
AMZ1	10
AMZ2	61
AMZ2P1	13
ANAPC1	21
ANAPC10	5
ANAPC11	60
ANAPC13	76
ANAPC15	2
ANAPC16	170
ANAPC1P1	0
ANAPC2	76
ANAPC4	40
ANAPC5	117
ANAPC7	64
ANG	0
ANGEL1	31
ANGEL2	55
ANGPT1	3
ANGPT2	9
ANGPT4	0
ANGPTL1	9
ANGPTL2	8
ANGPTL3	1
ANGPTL4	4
ANGPTL5	5
ANGPTL6	2
ANGPTL7	5
ANHX	0
ANK1	20
ANK2	13
ANK3	282
ANKAR	4
ANKDD1A	12
ANKDD1B	33
ANKEF1	65
ANKFN1	9
ANKFY1	150
ANKH	28
ANKHD1	1
ANKHD1_EIF4EBP3	3
ANKIB1	82
ANKK1	21
ANKLE1	0
ANKLE2	87
ANKMY1	130
ANKMY2	58
ANKRA2	53
ANKRD1	0
ANKRD10	42
ANKRD11	651
ANKRD12	389
ANKRD13A	177
ANKRD13B	8
ANKRD13C	52
ANKRD13D	59
ANKRD16	12
ANKRD17	499
ANKRD18A	28
ANKRD18B	31
ANKRD18DP	0
ANKRD19P	4
ANKRD2	1
ANKRD20A1	0
ANKRD20A11P	4
ANKRD20A12P	0
ANKRD20A19P	2
ANKRD20A2	0
ANKRD20A3	0
ANKRD20A4	0
ANKRD20A5P	2
ANKRD20A8P	2
ANKRD20A9P	1
ANKRD22	9
ANKRD23	30
ANKRD24	4
ANKRD26	102
ANKRD26P1	0
ANKRD26P3	0
ANKRD27	47
ANKRD28	99
ANKRD29	1
ANKRD30A	3
ANKRD30B	0
ANKRD30BL	0
ANKRD30BP2	0
ANKRD30BP3	0
ANKRD31	7
ANKRD33	0
ANKRD33B	11
ANKRD34A	9
ANKRD34B	0
ANKRD34C	0
ANKRD34C_AS1	0
ANKRD35	129
ANKRD36	75
ANKRD36B	55
ANKRD36BP1	21
ANKRD36BP2	10
ANKRD36C	204
ANKRD37	21
ANKRD39	20
ANKRD40	80
ANKRD42	231
ANKRD44	49
ANKRD44_IT1	6
ANKRD45	159
ANKRD46	16
ANKRD49	19
ANKRD50	87
ANKRD52	172
ANKRD53	12
ANKRD54	134
ANKRD55	0
ANKRD6	40
ANKRD60	2
ANKRD61	5
ANKRD62	1
ANKRD62P1_PARP4P3	0
ANKRD63	0
ANKRD65	89
ANKRD66	60
ANKRD7	0
ANKRD9	29
ANKS1A	220
ANKS1B	12
ANKS3	24
ANKS4B	2
ANKS6	75
ANKUB1	92
ANKZF1	113
ANLN	35
ANO1	10
ANO1_AS2	0
ANO10	16
ANO2	1
ANO3	2
ANO4	1
ANO5	266
ANO6	53
ANO7	7
ANO8	20
ANO9	20
ANOS1	7
ANP32A	875
ANP32A_IT1	2
ANP32AP1	1
ANP32B	2145
ANP32C	4
ANP32D	0
ANP32E	911
ANPEP	54
ANTXR1	27
ANTXR2	45
ANTXRL	1
ANTXRLP1	2
ANXA1	1280
ANXA10	1
ANXA11	434
ANXA13	0
ANXA2	454
ANXA2P1	4
ANXA2P2	5
ANXA2P3	0
ANXA2R	5
ANXA3	72
ANXA4	116
ANXA5	360
ANXA6	79
ANXA7	177
ANXA8	3
ANXA8L1	2
ANXA9	11
AOAH	30
AOAH_IT1	0
AOC1	3
AOC2	3
AOC3	0
AOC4P	0
AOX1	3
AOX2P	2
AP1AR	120
AP1B1	252
AP1B1P1	0
AP1G1	155
AP1G2	57
AP1M1	55
AP1M2	125
AP1S1	60
AP1S2	8
AP1S3	31
AP2A1	137
AP2A2	124
AP2B1	406
AP2M1	217
AP2S1	75
AP3B1	139
AP3B2	9
AP3D1	697
AP3M1	47
AP3M2	40
AP3S1	23
AP3S2	9
AP4B1	26
AP4B1_AS1	3
AP4E1	67
AP4M1	23
AP4S1	32
AP5B1	114
AP5M1	34
AP5S1	32
AP5Z1	69
APAF1	51
APBA1	39
APBA2	5
APBA3	23
APBB1	69
APBB1IP	82
APBB2	22
APBB3	22
APC	73
APC2	40
APCDD1	36
APCDD1L	2
APCDD1L_AS1	0
APCS	0
APEH	120
APELA	0
APEX1	199
APEX2	19
APH1A	166
APH1B	27
API5	95
APIP	12
APITD1	0
APITD1_CORT	0
APLF	10
APLN	1
APLNR	0
APLP1	5
APLP2	581
APMAP	26
APOA1	2
APOA1_AS	2
APOA1BP	44
APOA2	0
APOA4	0
APOA5	4
APOB	2
APOBEC1	0
APOBEC2	1
APOBEC3A	13
APOBEC3A_B	0
APOBEC3B	2
APOBEC3B_AS1	0
APOBEC3C	106
APOBEC3D	61
APOBEC3F	119
APOBEC3G	60
APOBEC3H	3
APOBEC4	52
APOBR	247
APOC1	1
APOC1P1	0
APOC2	0
APOC3	0
APOC4	0
APOC4_APOC2	2
APOD	56
APOE	37
APOF	2
APOH	0
APOL1	984
APOL2	443
APOL3	250
APOL4	37
APOL5	0
APOL6	805
APOLD1	15
APOM	6
APOO	36
APOOL	61
APOOP5	1
APOPT1	22
APP	396
APPBP2	87
APPL1	66
APPL2	104
APRT	66
APTR	17
APTX	43
AQP1	3
AQP10	2
AQP11	4
AQP12A	1
AQP12B	0
AQP2	6
AQP3	1170
AQP4	5
AQP4_AS1	24
AQP5	273
AQP6	3
AQP7	3
AQP7P1	2
AQP7P3	0
AQP8	4
AQP9	5
AQR	111
AR	44
ARAF	78
ARAP1	347
ARAP2	128
ARAP3	32
ARC	19
ARCN1	275
AREG	7
AREL1	79
ARF1	414
ARF3	500
ARF4	141
ARF5	128
ARF6	474
ARFGAP1	108
ARFGAP2	196
ARFGAP3	393
ARFGEF1	282
ARFGEF2	170
ARFGEF3	317
ARFIP1	97
ARFIP2	128
ARFRP1	68
ARG1	0
ARG2	20
ARGFX	0
ARGFXP2	4
ARGLU1	703
ARHGAP1	184
ARHGAP10	19
ARHGAP11A	35
ARHGAP11B	2
ARHGAP12	94
ARHGAP15	17
ARHGAP17	106
ARHGAP18	256
ARHGAP19	20
ARHGAP19_SLIT1	0
ARHGAP20	32
ARHGAP21	119
ARHGAP22	5
ARHGAP23	137
ARHGAP24	41
ARHGAP25	86
ARHGAP26	126
ARHGAP26_AS1	0
ARHGAP26_IT1	0
ARHGAP27	128
ARHGAP28	0
ARHGAP29	26
ARHGAP30	373
ARHGAP31	29
ARHGAP31_AS1	0
ARHGAP32	204
ARHGAP33	22
ARHGAP35	270
ARHGAP36	3
ARHGAP39	172
ARHGAP4	121
ARHGAP40	0
ARHGAP42	22
ARHGAP44	57
ARHGAP5	308
ARHGAP5_AS1	5
ARHGAP6	3
ARHGAP8	3
ARHGAP9	103
ARHGDIA	452
ARHGDIB	199
ARHGDIG	0
ARHGEF1	221
ARHGEF10	11
ARHGEF10L	59
ARHGEF11	181
ARHGEF12	369
ARHGEF15	6
ARHGEF16	69
ARHGEF17	59
ARHGEF18	186
ARHGEF19	27
ARHGEF2	112
ARHGEF25	5
ARHGEF26	21
ARHGEF26_AS1	5
ARHGEF28	146
ARHGEF3	74
ARHGEF3_AS1	0
ARHGEF33	6
ARHGEF34P	3
ARHGEF35	1
ARHGEF37	107
ARHGEF38	14
ARHGEF38_IT1	0
ARHGEF39	4
ARHGEF4	22
ARHGEF40	25
ARHGEF5	18
ARHGEF6	100
ARHGEF7	80
ARHGEF7_AS1	0
ARHGEF7_AS2	1
ARHGEF9	53
ARHGEF9_IT1	0
ARID1A	342
ARID1B	281
ARID2	59
ARID3A	21
ARID3B	23
ARID3C	2
ARID4A	169
ARID4B	481
ARID5A	68
ARID5B	194
ARIH1	250
ARIH2	133
ARIH2OS	5
ARL1	209
ARL10	2
ARL11	15
ARL13A	1
ARL13B	67
ARL14	1
ARL14EP	27
ARL14EPL	0
ARL15	6
ARL16	42
ARL17A	18
ARL17B	0
ARL2	6
ARL2_SNX15	0
ARL2BP	36
ARL3	167
ARL4A	41
ARL4C	77
ARL4D	88
ARL5A	38
ARL5B	37
ARL5C	1
ARL6	28
ARL6IP1	139
ARL6IP4	490
ARL6IP5	38
ARL6IP6	17
ARL8A	101
ARL8B	95
ARL9	0
ARMC1	26
ARMC10	28
ARMC12	1
ARMC2	87
ARMC2_AS1	8
ARMC3	231
ARMC4	103
ARMC5	39
ARMC6	33
ARMC7	29
ARMC8	40
ARMC9	69
ARMCX1	2
ARMCX2	7
ARMCX3	134
ARMCX4	33
ARMCX5	21
ARMCX5_GPRASP2	0
ARMCX6	11
ARMS2	7
ARMT1	27
ARNT	122
ARNT2	18
ARNTL	35
ARNTL2	79
ARNTL2_AS1	0
ARPC1A	87
ARPC1B	142
ARPC2	293
ARPC3	195
ARPC4	91
ARPC4_TTLL3	0
ARPC5	299
ARPC5L	84
ARPIN	113
ARPP19	195
ARPP21	2
ARR3	0
ARRB1	107
ARRB2	128
ARRDC1	64
ARRDC1_AS1	11
ARRDC2	54
ARRDC3	133
ARRDC3_AS1	8
ARRDC4	119
ARRDC5	2
ARSA	57
ARSB	28
ARSD	119
ARSE	0
ARSF	0
ARSG	11
ARSH	3
ARSI	61
ARSJ	13
ARSK	1
ART1	0
ART3	0
ART4	0
ART5	1
ARTN	3
ARV1	25
ARVCF	38
ARX	3
AS3MT	0
ASAH1	114
ASAH2	3
ASAH2B	3
ASAP1	57
ASAP1_IT1	0
ASAP1_IT2	0
ASAP2	155
ASAP3	63
ASB1	93
ASB10	1
ASB11	0
ASB12	0
ASB13	24
ASB14	5
ASB15	0
ASB16	7
ASB16_AS1	10
ASB17	0
ASB18	1
ASB2	6
ASB3	4
ASB4	5
ASB5	0
ASB6	45
ASB7	71
ASB8	43
ASB9	3
ASB9P1	2
ASCC1	48
ASCC2	188
ASCC3	84
ASCL1	3
ASCL2	71
ASCL3	6
ASCL4	0
ASCL5	0
ASF1A	31
ASF1B	24
ASGR1	54
ASGR2	1
ASH1L	248
ASH1L_AS1	28
ASH2L	137
ASIC1	36
ASIC2	6
ASIC3	5
ASIC4	1
ASIC5	2
ASIP	0
ASL	100
ASMT	0
ASMTL	76
ASMTL_AS1	22
ASNA1	62
ASNS	9
ASNSD1	36
ASPA	0
ASPDH	5
ASPG	2
ASPH	233
ASPHD1	9
ASPHD2	14
ASPM	24
ASPN	1
ASPRV1	8
ASPSCR1	48
ASRGL1	119
ASS1	399
ASTE1	1
ASTL	1
ASTN1	4
ASTN2	13
ASTN2_AS1	0
ASUN	56
ASXL1	127
ASXL2	226
ASXL3	2
ASZ1	0
ATAD1	60
ATAD2	77
ATAD2B	97
ATAD3A	84
ATAD3B	27
ATAD3C	2
ATAD5	22
ATAT1	11
ATCAY	4
ATE1	54
ATE1_AS1	1
ATF1	68
ATF2	33
ATF3	83
ATF4	274
ATF5	138
ATF6	72
ATF6B	156
ATF7	54
ATF7IP	370
ATF7IP2	21
ATG10	23
ATG101	89
ATG12	67
ATG13	128
ATG14	104
ATG16L1	130
ATG16L2	36
ATG2A	107
ATG2B	80
ATG3	294
ATG4A	19
ATG4B	64
ATG4C	8
ATG4D	23
ATG5	51
ATG7	56
ATG9A	35
ATG9B	40
ATHL1	30
ATIC	59
ATL1	25
ATL2	32
ATL3	112
ATM	90
ATMIN	52
ATN1	248
ATOH1	0
ATOH7	5
ATOH8	7
ATOX1	30
ATP10A	16
ATP10B	59
ATP10D	29
ATP11A	53
ATP11A_AS1	2
ATP11AUN	1
ATP11B	94
ATP11C	27
ATP12A	189
ATP13A1	125
ATP13A2	72
ATP13A3	171
ATP13A4	23
ATP13A4_AS1	0
ATP13A5	13
ATP13A5_AS1	0
ATP1A1	409
ATP1A1_AS1	14
ATP1A2	1
ATP1A3	9
ATP1A4	7
ATP1B1	538
ATP1B2	0
ATP1B3	27
ATP1B4	0
ATP2A1	6
ATP2A1_AS1	1
ATP2A2	546
ATP2A3	194
ATP2B1	127
ATP2B2	1
ATP2B2_IT2	0
ATP2B3	3
ATP2B4	244
ATP2C1	104
ATP2C2	135
ATP4A	8
ATP4B	3
ATP5A1	275
ATP5B	399
ATP5C1	54
ATP5D	140
ATP5E	4
ATP5EP2	0
ATP5F1	57
ATP5G1	22
ATP5G2	165
ATP5G3	109
ATP5H	187
ATP5I	292
ATP5J	37
ATP5J2	27
ATP5J2_PTCD1	0
ATP5L	190
ATP5L2	5
ATP5O	81
ATP5S	34
ATP5SL	39
ATP6AP1	64
ATP6AP1L	18
ATP6AP2	46
ATP6V0A1	95
ATP6V0A2	90
ATP6V0A4	102
ATP6V0B	61
ATP6V0C	187
ATP6V0CP3	1
ATP6V0D1	119
ATP6V0D2	3
ATP6V0E1	70
ATP6V0E2	35
ATP6V0E2_AS1	0
ATP6V1A	185
ATP6V1B1	13
ATP6V1B1_AS1	0
ATP6V1B2	111
ATP6V1C1	83
ATP6V1C2	18
ATP6V1D	81
ATP6V1E1	140
ATP6V1E2	2
ATP6V1F	99
ATP6V1G1	259
ATP6V1G2	1
ATP6V1G2_DDX39B	0
ATP6V1G3	0
ATP6V1H	73
ATP7A	30
ATP7B	166
ATP8A1	25
ATP8A2	2
ATP8B1	119
ATP8B2	30
ATP8B3	5
ATP8B4	28
ATP8B5P	6
ATP9A	196
ATP9B	22
ATPAF1	54
ATPAF2	25
ATPIF1	1200
ATR	68
ATRAID	38
ATRIP	9
ATRN	118
ATRNL1	2
ATRX	577
ATXN1	130
ATXN10	95
ATXN1L	121
ATXN2	106
ATXN2L	207
ATXN3	78
ATXN3L	0
ATXN7	162
ATXN7L1	90
ATXN7L2	7
ATXN7L3	162
ATXN7L3B	225
ATXN8OS	0
AUH	42
AUNIP	3
AUP1	35
AURKA	15
AURKAIP1	242
AURKAPS1	4
AURKB	10
AURKC	3
AUTS2	318
AVEN	20
AVIL	8
AVL9	79
AVP	0
AVPI1	51
AVPR1A	2
AVPR1B	0
AVPR2	5
AWAT1	0
AWAT2	0
AXDND1	7
AXIN1	110
AXIN2	72
AXL	48
AZGP1	8
AZGP1P1	0
AZI2	75
AZIN1	502
AZIN1_AS1	13
AZIN2	26
AZU1	10
B2M	2239
B3GALNT1	12
B3GALNT2	47
B3GALT1	1
B3GALT2	16
B3GALT4	34
B3GALT5	13
B3GALT5_AS1	1
B3GALT6	16
B3GAT1	7
B3GAT2	0
B3GAT3	36
B3GLCT	10
B3GNT2	84
B3GNT3	71
B3GNT4	6
B3GNT5	136
B3GNT6	34
B3GNT7	157
B3GNT8	9
B3GNT9	20
B3GNTL1	20
B4GALNT1	1
B4GALNT2	0
B4GALNT3	137
B4GALNT4	9
B4GALT1	390
B4GALT1_AS1	0
B4GALT2	54
B4GALT3	27
B4GALT4	94
B4GALT4_AS1	2
B4GALT5	367
B4GALT6	20
B4GALT7	23
B4GAT1	5
B9D1	103
B9D2	34
BAALC	1
BAALC_AS1	0
BAALC_AS2	1
BAAT	0
BABAM1	55
BACE1	41
BACE1_AS	0
BACE2	106
BACH1	92
BACH1_IT2	2
BACH2	9
BAD	47
BAG1	844
BAG2	7
BAG3	82
BAG4	32
BAG5	124
BAG6	274
BAGE	1
BAGE2	0
BAGE3	0
BAGE4	0
BAGE5	0
BAHCC1	93
BAHD1	48
BAIAP2	155
BAIAP2_AS1	78
BAIAP2L1	342
BAIAP2L2	6
BAIAP3	241
BAK1	27
BAMBI	16
BANCR	0
BANF1	59
BANF2	0
BANK1	41
BANP	24
BAP1	162
BARD1	9
BARHL1	9
BARHL2	0
BARX1	2
BARX2	28
BASP1	709
BASP1P1	6
BATF	47
BATF2	79
BATF3	4
BAX	85
BAZ1A	526
BAZ1B	657
BAZ2A	454
BAZ2B	465
BBC3	19
BBIP1	17
BBOX1	4
BBOX1_AS1	9
BBS1	75
BBS10	5
BBS12	23
BBS2	78
BBS4	38
BBS5	59
BBS7	24
BBS9	37
BBX	283
BCAM	47
BCAN	20
BCAP29	42
BCAP31	160
BCAR1	95
BCAR3	50
BCAR4	0
BCAS1	448
BCAS2	69
BCAS3	70
BCAS4	19
BCAT1	37
BCAT2	28
BCCIP	363
BCDIN3D	11
BCDIN3D_AS1	0
BCHE	0
BCKDHA	73
BCKDHB	20
