	gene_id_FLU_22_S38_
AMER2	0
AMER3	0
AMFR	2362
AMH	1
AMHR2	1
AMICA1	10459
AMIGO1	50
AMIGO2	234
AMIGO3	55
AMMECR1	1169
AMMECR1L	271
AMN	1
AMN1	379
AMOT	77
AMOTL1	74
AMOTL2	1
AMPD1	1
AMPD2	1990
AMPD3	1305
AMPH	141
AMT	88
AMTN	0
AMY1A	0
AMY1B	0
AMY1C	0
AMY2A	0
AMY2B	478
AMZ1	20
AMZ2	707
AMZ2P1	101
ANAPC1	1022
ANAPC10	245
ANAPC11	138
ANAPC13	528
ANAPC15	65
ANAPC16	1633
ANAPC1P1	17
ANAPC2	268
ANAPC4	1118
ANAPC5	2053
ANAPC7	639
ANG	20
ANGEL1	174
ANGEL2	1337
ANGPT1	198
ANGPT2	285
ANGPT4	4
ANGPTL1	378
ANGPTL2	43
ANGPTL3	42
ANGPTL4	4
ANGPTL5	2
ANGPTL6	10
ANGPTL7	45
ANHX	0
ANK1	1369
ANK2	7
ANK3	683
ANKAR	357
ANKDD1A	236
ANKDD1B	28
ANKEF1	101
ANKFN1	5
ANKFY1	2693
ANKH	1212
ANKHD1	295
ANKHD1_EIF4EBP3	12
ANKIB1	2164
ANKK1	3
ANKLE1	49
ANKLE2	1494
ANKMY1	223
ANKMY2	349
ANKRA2	510
ANKRD1	1
ANKRD10	2648
ANKRD11	1995
ANKRD12	7913
ANKRD13A	7097
ANKRD13B	7
ANKRD13C	794
ANKRD13D	958
ANKRD16	46
ANKRD17	3108
ANKRD18A	119
ANKRD18B	6
ANKRD18DP	14
ANKRD19P	68
ANKRD2	0
ANKRD20A1	0
ANKRD20A11P	8
ANKRD20A12P	14
ANKRD20A19P	1
ANKRD20A2	0
ANKRD20A3	0
ANKRD20A4	23
ANKRD20A5P	57
ANKRD20A8P	2
ANKRD20A9P	9
ANKRD22	239
ANKRD23	134
ANKRD24	3
ANKRD26	458
ANKRD26P1	1
ANKRD26P3	6
ANKRD27	682
ANKRD28	1921
ANKRD29	6
ANKRD30A	2
ANKRD30B	4
ANKRD30BL	0
ANKRD30BP2	0
ANKRD30BP3	0
ANKRD31	38
ANKRD33	0
ANKRD33B	279
ANKRD34A	21
ANKRD34B	172
ANKRD34C	0
ANKRD34C_AS1	0
ANKRD35	2
ANKRD36	1818
ANKRD36B	1180
ANKRD36BP1	679
ANKRD36BP2	840
ANKRD36C	2293
ANKRD37	19
ANKRD39	69
ANKRD40	325
ANKRD42	400
ANKRD44	15962
ANKRD44_IT1	673
ANKRD45	2
ANKRD46	219
ANKRD49	589
ANKRD50	614
ANKRD52	268
ANKRD53	11
ANKRD54	73
ANKRD55	76
ANKRD6	150
ANKRD60	2
ANKRD61	50
ANKRD62	4
ANKRD62P1_PARP4P3	8
ANKRD63	0
ANKRD65	4
ANKRD66	0
ANKRD7	1
ANKRD9	86
ANKS1A	442
ANKS1B	9
ANKS3	84
ANKS4B	1
ANKS6	78
ANKUB1	3
ANKZF1	752
ANLN	115
ANO1	3
ANO1_AS2	3
ANO10	389
ANO2	14
ANO3	0
ANO4	0
ANO5	176
