	gene_id_FLU_45_
ALOX15B	1
ALOX15P1	2
ALOX5	4409
ALOX5AP	689
ALOXE3	0
ALPI	0
ALPK1	2387
ALPK2	18
ALPK3	57
ALPL	1939
ALPP	0
ALPPL2	0
ALS2	217
ALS2CL	72
ALS2CR11	8
ALS2CR12	905
ALX1	0
ALX3	15
ALX4	8
ALYREF	149
AMACR	0
AMBN	2
AMBP	0
AMBRA1	392
AMD1	1460
AMDHD1	8
AMDHD2	112
AMELX	2
AMELY	0
AMER1	78
AMER2	0
AMER3	0
AMFR	1315
AMH	1
AMHR2	2
AMICA1	4283
AMIGO1	45
AMIGO2	87
AMIGO3	65
AMMECR1	329
AMMECR1L	209
AMN	2
AMN1	169
AMOT	45
AMOTL1	64
AMOTL2	0
AMPD1	3
AMPD2	2995
AMPD3	683
AMPH	31
AMT	74
AMTN	0
AMY1A	0
AMY1B	0
AMY1C	0
AMY2A	0
AMY2B	168
AMZ1	12
AMZ2	243
AMZ2P1	33
ANAPC1	427
ANAPC10	95
ANAPC11	63
ANAPC13	168
ANAPC15	16
ANAPC16	750
ANAPC1P1	9
ANAPC2	204
ANAPC4	467
ANAPC5	883
ANAPC7	256
ANG	8
ANGEL1	136
ANGEL2	395
ANGPT1	107
ANGPT2	88
ANGPT4	14
ANGPTL1	153
ANGPTL2	14
ANGPTL3	13
ANGPTL4	1
ANGPTL5	0
ANGPTL6	2
ANGPTL7	42
ANHX	0
ANK1	770
ANK2	0
ANK3	303
ANKAR	156
ANKDD1A	147
ANKDD1B	13
ANKEF1	55
ANKFN1	0
ANKFY1	1208
ANKH	641
ANKHD1	93
ANKHD1_EIF4EBP3	6
ANKIB1	913
ANKK1	3
ANKLE1	33
ANKLE2	790
ANKMY1	167
ANKMY2	156
ANKRA2	166
ANKRD1	0
ANKRD10	938
ANKRD11	2128
ANKRD12	5055
ANKRD13A	3308
ANKRD13B	8
ANKRD13C	495
ANKRD13D	1080
ANKRD16	16
ANKRD17	1916
ANKRD18A	51
ANKRD18B	0
ANKRD18DP	4
ANKRD19P	39
ANKRD2	2
ANKRD20A1	0
ANKRD20A11P	0
ANKRD20A12P	1
ANKRD20A19P	0
ANKRD20A2	0
ANKRD20A3	0
ANKRD20A4	8
ANKRD20A5P	35
ANKRD20A8P	1
ANKRD20A9P	15
ANKRD22	17
ANKRD23	62
ANKRD24	4
ANKRD26	403
ANKRD26P1	1
ANKRD26P3	12
ANKRD27	453
ANKRD28	732
ANKRD29	2
ANKRD30A	0
ANKRD30B	0
ANKRD30BL	0
ANKRD30BP2	0
ANKRD30BP3	0
ANKRD31	10
ANKRD33	0
ANKRD33B	145
ANKRD34A	7
ANKRD34B	27
ANKRD34C	0
ANKRD34C_AS1	0
ANKRD35	2
ANKRD36	1098
ANKRD36B	287
ANKRD36BP1	243
ANKRD36BP2	5329
ANKRD36C	964
ANKRD37	7
ANKRD39	18
ANKRD40	236
ANKRD42	95
ANKRD44	5893
ANKRD44_IT1	362
ANKRD45	0
ANKRD46	119
ANKRD49	331
ANKRD50	277
ANKRD52	253
ANKRD53	8
ANKRD54	32
ANKRD55	29
ANKRD6	74
ANKRD60	0
ANKRD61	18
ANKRD62	1
ANKRD62P1_PARP4P3	0
ANKRD63	0
ANKRD65	0
ANKRD66	0
ANKRD7	3
ANKRD9	80
ANKS1A	443
ANKS1B	1
ANKS3	66
ANKS4B	1
ANKS6	81
ANKUB1	20
ANKZF1	596
ANLN	152
ANO1	0
ANO1_AS2	0
ANO10	220
ANO2	23
ANO3	0
ANO4	0
ANO5	20
ANO6	1492
ANO7	10
ANO8	68
ANO9	139
ANOS1	0
ANP32A	885
ANP32A_IT1	307
ANP32AP1	0
ANP32B	733
ANP32C	0
ANP32D	0
ANP32E	479
ANPEP	1384
ANTXR1	0
ANTXR2	1682
ANTXRL	0
ANTXRLP1	58
ANXA1	1599
ANXA10	3
ANXA11	2124
ANXA13	0
ANXA2	1640
ANXA2P1	1
ANXA2P2	1
ANXA2P3	0
ANXA2R	44
ANXA3	498
ANXA4	169
ANXA5	1136
ANXA6	1867
ANXA7	729
ANXA8	0
ANXA8L1	0
ANXA9	154
AOAH	2700
AOAH_IT1	77
AOC1	0
AOC2	134
AOC3	119
AOC4P	16
AOX1	3
AOX2P	4
AP1AR	162
AP1B1	548
AP1B1P1	0
AP1G1	1462
AP1G2	359
AP1M1	354
AP1M2	22
AP1S1	24
AP1S2	1080
AP1S3	37
AP2A1	1050
AP2A2	354
AP2B1	1725
AP2M1	928
AP2S1	139
AP3B1	1480
AP3B2	3
AP3D1	1191
AP3M1	494
AP3M2	210
AP3S1	249
AP3S2	14
AP4B1	156
AP4B1_AS1	35
AP4E1	402
AP4M1	36
AP4S1	148
AP5B1	1868
AP5M1	360
AP5S1	68
