	gene_id_Covid5_R1_
ADAMTSL4	2
ADAMTSL4_AS1	0
ADAMTSL5	5
ADAP1	3
ADAP2	0
ADAR	17
ADARB1	3
ADARB2	3
ADARB2_AS1	0
ADAT1	1
ADAT2	0
ADAT3	2
ADCK1	12
ADCK2	773
ADCK3	1
ADCK4	1
ADCK5	1
ADCY1	6
ADCY10	0
ADCY10P1	0
ADCY2	1
ADCY3	2
ADCY4	2
ADCY5	11
ADCY6	4
ADCY7	1
ADCY8	2
ADCY9	4
ADCYAP1	0
ADCYAP1R1	2
ADD1	4
ADD2	1
ADD3	0
ADD3_AS1	0
ADGB	4
ADGRA1	2
ADGRA1_AS1	2
ADGRA2	6
ADGRA3	1
ADGRB1	5
ADGRB2	7
ADGRB3	2
ADGRD1	0
ADGRE1	2
ADGRE2	0
ADGRE3	0
ADGRE4P	0
ADGRE5	2
ADGRF1	2
ADGRF2	0
ADGRF3	6
ADGRF4	0
ADGRF5	1
ADGRG1	2
ADGRG2	2
ADGRG3	9
ADGRG4	1
ADGRG5	2
ADGRG6	28
ADGRG7	0
ADGRL1	11
ADGRL2	10
ADGRL3	0
ADGRL3_AS1	1
ADGRL4	0
ADGRV1	1
ADH1A	0
ADH1B	0
ADH1C	7
ADH4	0
ADH5	1
ADH6	1
ADH7	7
ADHFE1	0
ADI1	2
ADIG	0
ADIPOQ	0
ADIPOQ_AS1	0
ADIPOR1	2
ADIPOR2	0
ADIRF	0
ADK	1
ADM	3
ADM2	4
ADM5	0
ADNP	3
ADNP_AS1	0
ADNP2	4
ADO	5
ADORA1	6
ADORA2A	0
ADORA2A_AS1	0
ADORA2B	5
ADORA3	0
ADPGK	0
ADPGK_AS1	3
ADPRH	63
ADPRHL1	12
ADPRHL2	1
ADPRM	0
ADRA1A	0
ADRA1B	6
ADRA1D	1
ADRA2A	5
ADRA2B	1
ADRA2C	1
ADRB1	0
ADRB2	0
ADRB3	1
ADRBK1	1
ADRBK2	3
ADRM1	3
ADSL	1
ADSS	7
ADSSL1	0
ADTRP	0
AEBP1	23
AEBP2	12
AEN	1
AES	20
AFAP1	100
AFAP1_AS1	2
AFAP1L1	1
AFAP1L2	1
AFF1	8
AFF2	1
AFF3	6
AFF4	5
AFG3L1P	1
AFG3L2	5
AFM	0
AFMID	0
AFP	0
AFTPH	1
AGA	0
AGAP1	15
AGAP1_IT1	0
AGAP11	0
AGAP2	2
AGAP2_AS1	0
AGAP3	6
AGAP4	0
AGAP5	0
AGAP6	0
AGAP7P	0
AGAP9	0
AGBL1	1
AGBL1_AS1	1
AGBL2	0
AGBL3	0
AGBL4	39
AGBL4_IT1	0
AGBL5	20
AGBL5_AS1	3
AGER	2
AGFG1	6
AGFG2	3
AGGF1	1
AGK	0
AGL	2
AGMAT	1
AGMO	0
AGO1	0
AGO2	3
AGO3	1
AGO4	42
AGPAT1	1
AGPAT2	3
AGPAT3	4
AGPAT4	5
AGPAT4_IT1	0
AGPAT5	2
AGPS	2
AGR2	2
AGR3	0
AGRN	6
AGRP	0
AGT	1
AGTPBP1	2
AGTR1	0
AGTR2	0
AGTRAP	0
AGXT	1
AGXT2	1
AHCTF1	0
AHCTF1P1	0
AHCY	3
AHCYL1	2
AHCYL2	2
AHDC1	9
AHI1	0
AHNAK	12
AHNAK2	8
AHR	11
AHRR	11
AHSA1	3
AHSA2	0
AHSG	0
AHSP	0
AICDA	0
AIDA	0
AIF1	1
AIF1L	7
AIFM1	1
AIFM2	1
AIFM3	0
AIG1	0
AIM1	3
AIM1L	1
AIM2	0
AIMP1	0
AIMP2	0
AIP	2
AIPL1	0
AIRE	31
AIRN	0
AJAP1	2
AJUBA	0
AK1	1
AK2	1
AK3	1
AK4	2
AK5	2
AK6	0
AK7	1
AK8	1
AK9	6
AKAP1	2
AKAP10	0
AKAP11	2
AKAP12	1
AKAP13	17
AKAP14	0
AKAP17A	2
AKAP2	0
AKAP3	1
AKAP4	0
AKAP5	0
AKAP6	0
AKAP7	1
AKAP8	4
AKAP8L	8
AKAP9	6
AKIP1	2
AKIRIN1	1
AKIRIN2	3
AKNA	6
AKNAD1	0
AKR1A1	0
AKR1B1	1
AKR1B10	5
AKR1B15	0
AKR1C1	0
AKR1C2	0
AKR1C3	1
AKR1C4	0
AKR1C6P	0
AKR1C8P	0
AKR1D1	1
AKR1E2	0
AKR7A2	1
AKR7A2P1	2
AKR7A3	0
AKR7L	0
AKT1	2
AKT1S1	0
AKT2	1
AKT3	0
AKTIP	1
ALAD	1
ALAS1	2
ALAS2	0
ALB	0
ALCAM	5
ALDH16A1	2
ALDH18A1	1
ALDH1A1	15
ALDH1A2	0
ALDH1A3	1
ALDH1B1	1
ALDH1L1	4
ALDH1L1_AS1	0
ALDH1L1_AS2	0
ALDH1L2	0
ALDH2	3
ALDH3A1	5
ALDH3A2	2
ALDH3B1	11
ALDH3B2	7
ALDH4A1	1
ALDH5A1	4
ALDH6A1	0
ALDH7A1	0
ALDH8A1	0
ALDH9A1	1
ALDOA	13
ALDOB	0
ALDOC	3
ALG1	0
ALG10	2
ALG10B	0
ALG11	0
ALG12	1
ALG13	0
ALG14	0
ALG1L	0
ALG1L2	0
ALG1L9P	0
ALG2	1
ALG3	1
ALG5	0
ALG6	0
ALG8	0
ALG9	1
ALK	12
ALKBH1	0
ALKBH2	14
ALKBH3	4
ALKBH3_AS1	0
ALKBH4	1
ALKBH5	2
ALKBH6	0
ALKBH7	2
ALKBH8	0
ALLC	0
ALMS1	2
ALMS1_IT1	0
ALMS1P	0
ALOX12	0
ALOX12_AS1	1
ALOX12B	0
ALOX12P2	0
ALOX15	17
ALOX15B	0
ALOX15P1	0
ALOX5	0
ALOX5AP	0
ALOXE3	0
ALPI	1
ALPK1	5
ALPK2	0
ALPK3	7
ALPL	2
ALPP	0
ALPPL2	0
ALS2	4
ALS2CL	2
ALS2CR11	0
ALS2CR12	1
ALX1	0
ALX3	0
ALX4	1
ALYREF	1
AMACR	1
AMBN	0
AMBP	26
AMBRA1	3
AMD1	2
AMDHD1	2
AMDHD2	2
AMELX	0
AMELY	0
AMER1	2
AMER2	4
AMER3	1
AMFR	3
AMH	0
AMHR2	0
AMICA1	5
AMIGO1	1
AMIGO2	1
AMIGO3	3
AMMECR1	3
AMMECR1L	3
AMN	1
AMN1	0
AMOT	8
AMOTL1	3
AMOTL2	2
AMPD1	0
AMPD2	4
AMPD3	0
AMPH	0
AMT	1
AMTN	0
AMY1A	0
AMY1B	0
AMY1C	0
AMY2A	0
AMY2B	0
AMZ1	1
AMZ2	2
AMZ2P1	0
ANAPC1	0
ANAPC10	0
ANAPC11	5
ANAPC13	0
ANAPC15	1
ANAPC16	10
ANAPC1P1	0
ANAPC2	1
ANAPC4	0
ANAPC5	0
ANAPC7	0
ANG	0
ANGEL1	1
ANGEL2	0
ANGPT1	4
ANGPT2	1
ANGPT4	1
ANGPTL1	0
ANGPTL2	0
ANGPTL3	0
ANGPTL4	0
ANGPTL5	0
ANGPTL6	3
ANGPTL7	0
ANHX	0
ANK1	1
ANK2	6
ANK3	7
ANKAR	0
ANKDD1A	0
ANKDD1B	1
ANKEF1	0
ANKFN1	0
ANKFY1	8
ANKH	0
ANKHD1	0
ANKHD1_EIF4EBP3	0
ANKIB1	0
ANKK1	1
ANKLE1	0
ANKLE2	3
ANKMY1	1
ANKMY2	1
ANKRA2	0
ANKRD1	0
ANKRD10	0
ANKRD11	23
ANKRD12	1
ANKRD13A	0
ANKRD13B	3
ANKRD13C	1
ANKRD13D	3
ANKRD16	4
ANKRD17	6
ANKRD18A	0
ANKRD18B	0
ANKRD18DP	0
ANKRD19P	0
ANKRD2	2
ANKRD20A1	0
ANKRD20A11P	0
ANKRD20A12P	0
ANKRD20A19P	2
ANKRD20A2	0
ANKRD20A3	0
ANKRD20A4	0
ANKRD20A5P	0
ANKRD20A8P	0
ANKRD20A9P	11
ANKRD22	0
ANKRD23	1
ANKRD24	0
ANKRD26	5
ANKRD26P1	0
ANKRD26P3	1
ANKRD27	4
ANKRD28	2
ANKRD29	1
ANKRD30A	0
ANKRD30B	0
ANKRD30BL	2
ANKRD30BP2	0
ANKRD30BP3	0
ANKRD31	0
ANKRD33	1
ANKRD33B	5
ANKRD34A	5
ANKRD34B	1
ANKRD34C	2
ANKRD34C_AS1	0
ANKRD35	2
ANKRD36	0
ANKRD36B	1
ANKRD36BP1	0
ANKRD36BP2	0
ANKRD36C	1
ANKRD37	0
ANKRD39	0
ANKRD40	0
ANKRD42	15
ANKRD44	5
ANKRD44_IT1	0
ANKRD45	2
ANKRD46	0
ANKRD49	1
ANKRD50	3
ANKRD52	4
ANKRD53	1
ANKRD54	0
ANKRD55	1
ANKRD6	3
ANKRD60	0
ANKRD61	0
ANKRD62	4
ANKRD62P1_PARP4P3	0
ANKRD63	0
ANKRD65	2
ANKRD66	1
ANKRD7	0
ANKRD9	1
ANKS1A	5
ANKS1B	1
ANKS3	1
ANKS4B	4
ANKS6	19
ANKUB1	0
ANKZF1	6
ANLN	0
ANO1	0
ANO1_AS2	1
ANO10	0
ANO2	0
ANO3	1
ANO4	1
ANO5	20
ANO6	2
ANO7	1
ANO8	3
ANO9	0
ANOS1	0
ANP32A	12
ANP32A_IT1	0
ANP32AP1	0
ANP32B	7
ANP32C	0
ANP32D	0
ANP32E	3
ANPEP	5
ANTXR1	2
ANTXR2	2
ANTXRL	0
ANTXRLP1	0
ANXA1	12
ANXA10	0
ANXA11	6
ANXA13	0
ANXA2	3
ANXA2P1	1
ANXA2P2	0
ANXA2P3	0
ANXA2R	0
ANXA3	1
ANXA4	2
ANXA5	6
ANXA6	2
ANXA7	5
ANXA8	0
ANXA8L1	0
ANXA9	0
AOAH	0
AOAH_IT1	0
AOC1	0
AOC2	1
AOC3	0
AOC4P	0
AOX1	0
AOX2P	0
AP1AR	0
AP1B1	0
AP1B1P1	0
AP1G1	1
AP1G2	1
AP1M1	3
AP1M2	6
AP1S1	8
AP1S2	0
AP1S3	0
AP2A1	3
AP2A2	7
AP2B1	1
AP2M1	5
AP2S1	0
AP3B1	19
AP3B2	4
AP3D1	14
AP3M1	0
AP3M2	1
AP3S1	4
AP3S2	0
AP4B1	3
AP4B1_AS1	0
AP4E1	1
AP4M1	0
AP4S1	1
AP5B1	5
AP5M1	0
AP5S1	7
AP5Z1	1
APAF1	13
APBA1	94
APBA2	3
APBA3	1
APBB1	4
APBB1IP	9
APBB2	0
APBB3	1
APC	1
APC2	75
APCDD1	157
APCDD1L	0
APCDD1L_AS1	1
APCS	0
APEH	1
APELA	0
APEX1	1
APEX2	0
APH1A	1
APH1B	0
API5	3
APIP	0
APITD1	0
APITD1_CORT	0
APLF	0
APLN	0
APLNR	2
APLP1	2
APLP2	5
APMAP	0
APOA1	1
APOA1_AS	0
APOA1BP	0
APOA2	0
APOA4	0
APOA5	1
APOB	4
APOBEC1	1
APOBEC2	0
APOBEC3A	0
APOBEC3A_B	0
APOBEC3B	0
APOBEC3B_AS1	0
APOBEC3C	1
APOBEC3D	0
APOBEC3F	8
APOBEC3G	1
APOBEC3H	0
APOBEC4	0
APOBR	2
APOC1	0
APOC1P1	0
APOC2	0
APOC3	0
APOC4	0
APOC4_APOC2	0
APOD	1
APOE	0
APOF	0
APOH	0
APOL1	152
APOL2	5
APOL3	0
APOL4	1
APOL5	0
APOL6	14
APOLD1	0
APOM	0
APOO	0
APOOL	0
APOOP5	0
APOPT1	0
APP	7
APPBP2	31
APPL1	0
APPL2	5
APRT	2
APTR	1
APTX	0
AQP1	4
AQP10	0
AQP11	0
AQP12A	0
AQP12B	0
AQP2	0
AQP3	3
AQP4	2
AQP4_AS1	0
AQP5	9
AQP6	2
AQP7	0
AQP7P1	0
AQP7P3	0
AQP8	0
AQP9	0
AQR	5
AR	1
ARAF	0
ARAP1	20
ARAP2	1
ARAP3	5
ARC	1
ARCN1	9
AREG	0
AREL1	1
ARF1	5
ARF3	4
ARF4	4
ARF5	2
ARF6	7
ARFGAP1	6
ARFGAP2	4
ARFGAP3	83
ARFGEF1	9
ARFGEF2	2
ARFGEF3	2
ARFIP1	0
ARFIP2	3
ARFRP1	1
ARG1	0
ARG2	0
ARGFX	0
ARGFXP2	0
ARGLU1	7
ARHGAP1	1
ARHGAP10	1
ARHGAP11A	0
ARHGAP11B	0
ARHGAP12	3
ARHGAP15	0
ARHGAP17	1
ARHGAP18	2
ARHGAP19	0
ARHGAP19_SLIT1	0
ARHGAP20	1
ARHGAP21	76
ARHGAP22	2
ARHGAP23	4
ARHGAP24	5
ARHGAP25	3
ARHGAP26	6
ARHGAP26_AS1	0
ARHGAP26_IT1	0
ARHGAP27	0
ARHGAP28	0
ARHGAP29	0
ARHGAP30	4
ARHGAP31	3
ARHGAP31_AS1	0
ARHGAP32	1
ARHGAP33	2
ARHGAP35	3
ARHGAP36	1
ARHGAP39	1
ARHGAP4	1
ARHGAP40	0
ARHGAP42	0
ARHGAP44	6
ARHGAP5	2
ARHGAP5_AS1	0
ARHGAP6	1
ARHGAP8	0
ARHGAP9	3
ARHGDIA	9
ARHGDIB	1
ARHGDIG	2
ARHGEF1	6
ARHGEF10	3
ARHGEF10L	2
ARHGEF11	10
ARHGEF12	2
ARHGEF15	3
ARHGEF16	2
ARHGEF17	8
ARHGEF18	6
ARHGEF19	4
ARHGEF2	11
ARHGEF25	1
ARHGEF26	9
ARHGEF26_AS1	0
ARHGEF28	10
ARHGEF3	5
ARHGEF3_AS1	0
ARHGEF33	1
ARHGEF34P	0
ARHGEF35	2
ARHGEF37	0
ARHGEF38	0
ARHGEF38_IT1	0
ARHGEF39	2
ARHGEF4	2
ARHGEF40	1
ARHGEF5	1
ARHGEF6	1
ARHGEF7	23
ARHGEF7_AS1	0
ARHGEF7_AS2	0
ARHGEF9	0
ARHGEF9_IT1	0
ARID1A	23
ARID1B	11
ARID2	1
ARID3A	0
ARID3B	0
ARID3C	0
ARID4A	2
ARID4B	2
ARID5A	3
ARID5B	0
ARIH1	6
ARIH2	0
ARIH2OS	5
ARL1	0
ARL10	0
ARL11	0
ARL13A	0
ARL13B	0
ARL14	0
ARL14EP	0
ARL14EPL	0
ARL15	0
ARL16	3
ARL17A	0
ARL17B	0
ARL2	0
ARL2_SNX15	0
ARL2BP	1
ARL3	2
ARL4A	0
ARL4C	4
ARL4D	0
ARL5A	6
ARL5B	1
ARL5C	2
ARL6	0
ARL6IP1	1
ARL6IP4	28
ARL6IP5	0
ARL6IP6	0
ARL8A	4
ARL8B	0
ARL9	0
ARMC1	0
ARMC10	1
ARMC12	0
ARMC2	2
ARMC2_AS1	0
ARMC3	7
ARMC4	0
ARMC5	3
ARMC6	1
ARMC7	0
ARMC8	0
ARMC9	4
ARMCX1	0
ARMCX2	2
ARMCX3	2
ARMCX4	1
ARMCX5	4
ARMCX5_GPRASP2	0
ARMCX6	0
ARMS2	3
ARMT1	0
ARNT	0
ARNT2	0
ARNTL	1
ARNTL2	1
ARNTL2_AS1	0
ARPC1A	0
ARPC1B	0
ARPC2	6
ARPC3	5
ARPC4	0
ARPC4_TTLL3	0
ARPC5	1
ARPC5L	2
ARPIN	2
ARPP19	2
ARPP21	0
ARR3	1
ARRB1	3
ARRB2	4
ARRDC1	1
ARRDC1_AS1	1
ARRDC2	1
ARRDC3	1
ARRDC3_AS1	1
ARRDC4	1
ARRDC5	0
ARSA	0
ARSB	4
ARSD	0
ARSE	0
ARSF	0
ARSG	1
ARSH	0
ARSI	20
ARSJ	0
ARSK	0
ART1	0
ART3	0
ART4	0
ART5	3
ARTN	2
ARV1	0
ARVCF	5
ARX	4
AS3MT	0
ASAH1	0
ASAH2	0
ASAH2B	0
ASAP1	6
ASAP1_IT1	0
ASAP1_IT2	0
ASAP2	3
ASAP3	6
ASB1	1
ASB10	1
ASB11	0
ASB12	1
ASB13	3
ASB14	1
ASB15	0
ASB16	1
ASB16_AS1	1
ASB17	0
ASB18	1
ASB2	0
ASB3	0
ASB4	3
ASB5	0
ASB6	2
ASB7	1
ASB8	0
ASB9	0
ASB9P1	0
ASCC1	3
ASCC2	7
ASCC3	1
ASCL1	4
ASCL2	19
ASCL3	0
ASCL4	1
ASCL5	0
ASF1A	0
ASF1B	3
ASGR1	9
ASGR2	1
ASH1L	7
ASH1L_AS1	0
ASH2L	0
ASIC1	1
ASIC2	5
ASIC3	1
ASIC4	0
ASIC5	2
ASIP	0
ASL	1
ASMT	0
ASMTL	7
ASMTL_AS1	0
ASNA1	1
ASNS	0
ASNSD1	1
ASPA	0
ASPDH	2
ASPG	1
ASPH	2
ASPHD1	2
ASPHD2	0
ASPM	4
ASPN	0
ASPRV1	2
ASPSCR1	4
ASRGL1	0
ASS1	9
ASTE1	0
ASTL	0
ASTN1	1
ASTN2	2
ASTN2_AS1	0
ASUN	0
ASXL1	4
ASXL2	6
ASXL3	0
ASZ1	1
ATAD1	1
ATAD2	0
ATAD2B	1
ATAD3A	19
ATAD3B	1
ATAD3C	1
ATAD5	2
ATAT1	0
ATCAY	0
ATE1	4
ATE1_AS1	0
ATF1	0
ATF2	5
ATF3	7
ATF4	2
ATF5	2
ATF6	0
ATF6B	0
ATF7	1
ATF7IP	1
ATF7IP2	0
ATG10	2
ATG101	0
ATG12	1
ATG13	6
ATG14	1
ATG16L1	2
ATG16L2	0
ATG2A	7
ATG2B	0
ATG3	2
ATG4A	0
ATG4B	5
ATG4C	0
ATG4D	3
ATG5	0
ATG7	5
ATG9A	296
ATG9B	0
ATHL1	6
ATIC	0
ATL1	0
ATL2	0
ATL3	9
ATM	6
ATMIN	1
ATN1	7
ATOH1	0
ATOH7	1
ATOH8	0
ATOX1	0
ATP10A	7
ATP10B	2
ATP10D	51
ATP11A	5
ATP11A_AS1	0
ATP11AUN	0
ATP11B	1
ATP11C	0
ATP12A	2
ATP13A1	7
ATP13A2	2
ATP13A3	0
ATP13A4	0
ATP13A4_AS1	0
ATP13A5	0
ATP13A5_AS1	0
ATP1A1	2
ATP1A1_AS1	0
ATP1A2	0
ATP1A3	62
ATP1A4	17
ATP1B1	11
ATP1B2	1
ATP1B3	0
ATP1B4	0
ATP2A1	1
ATP2A1_AS1	0
ATP2A2	61
ATP2A3	7
ATP2B1	0
ATP2B2	4
ATP2B2_IT2	0
ATP2B3	1
ATP2B4	4
ATP2C1	0
ATP2C2	0
ATP4A	5
ATP4B	0
ATP5A1	2
ATP5B	7
ATP5C1	5
ATP5D	2
ATP5E	0
ATP5EP2	0
ATP5F1	0
ATP5G1	0
ATP5G2	0
ATP5G3	0
ATP5H	0
ATP5I	1
ATP5J	0
ATP5J2	1
ATP5J2_PTCD1	0
ATP5L	2
ATP5L2	0
ATP5O	1
ATP5S	3
ATP5SL	8
ATP6AP1	2
ATP6AP1L	1
ATP6AP2	2
ATP6V0A1	4
ATP6V0A2	1
ATP6V0A4	1
ATP6V0B	1
ATP6V0C	1
ATP6V0CP3	1
ATP6V0D1	3
ATP6V0D2	6
ATP6V0E1	0
ATP6V0E2	1
ATP6V0E2_AS1	1
ATP6V1A	5
ATP6V1B1	0
ATP6V1B1_AS1	0
ATP6V1B2	5
ATP6V1C1	1
ATP6V1C2	0
ATP6V1D	0
ATP6V1E1	1
ATP6V1E2	0
ATP6V1F	0
ATP6V1G1	4
ATP6V1G2	0
ATP6V1G2_DDX39B	0
ATP6V1G3	0
ATP6V1H	1
ATP7A	0
ATP7B	3
ATP8A1	0
ATP8A2	1
ATP8B1	3
ATP8B2	14
ATP8B3	2
ATP8B4	1
ATP8B5P	40
ATP9A	0
ATP9B	5
ATPAF1	2
ATPAF2	4
ATPIF1	14
ATR	1
ATRAID	0
ATRIP	3
ATRN	2
ATRNL1	3
ATRX	2
ATXN1	6
ATXN10	2
ATXN1L	3
ATXN2	84
ATXN2L	4
ATXN3	0
ATXN3L	0
ATXN7	3
ATXN7L1	1
ATXN7L2	1
ATXN7L3	3
ATXN7L3B	0
ATXN8OS	0
AUH	5
AUNIP	0
AUP1	0
AURKA	0
AURKAIP1	4
AURKAPS1	0
AURKB	3
AURKC	0
AUTS2	2
AVEN	0
AVIL	3
AVL9	0
AVP	1
AVPI1	0
AVPR1A	2
AVPR1B	0
AVPR2	1
AWAT1	0
AWAT2	0
AXDND1	3
AXIN1	4
AXIN2	0
AXL	3
AZGP1	0
AZGP1P1	1
AZI2	0
AZIN1	3
AZIN1_AS1	0
AZIN2	2
AZU1	6
B2M	18
B3GALNT1	0
B3GALNT2	1
B3GALT1	0
B3GALT2	0
B3GALT4	0
B3GALT5	0
B3GALT5_AS1	65
B3GALT6	4
B3GAT1	0
B3GAT2	1
B3GAT3	1
B3GLCT	0
B3GNT2	4
B3GNT3	1
B3GNT4	0
B3GNT5	3
B3GNT6	1
B3GNT7	2
B3GNT8	0
B3GNT9	3
B3GNTL1	4
B4GALNT1	1
B4GALNT2	0
B4GALNT3	11
B4GALNT4	17
B4GALT1	1
B4GALT1_AS1	0
B4GALT2	0
B4GALT3	0
B4GALT4	2
B4GALT4_AS1	0
B4GALT5	0
B4GALT6	0
B4GALT7	0
B4GAT1	0
B9D1	0
B9D2	2
BAALC	0
BAALC_AS1	0
BAALC_AS2	0
BAAT	0
BABAM1	0
BACE1	3
BACE1_AS	0
BACE2	0
BACH1	4
BACH1_IT2	0
BACH2	1
BAD	0
BAG1	5
BAG2	0
BAG3	1
BAG4	1
BAG5	2
BAG6	6
BAGE	0
BAGE2	0
BAGE3	0
BAGE4	0
BAGE5	0
BAHCC1	11
BAHD1	4
BAIAP2	5
BAIAP2_AS1	3
BAIAP2L1	4
BAIAP2L2	1
BAIAP3	9
BAK1	0
BAMBI	6
BANCR	0
BANF1	0
BANF2	0
BANK1	0
BANP	1
BAP1	5
BARD1	0
BARHL1	1
BARHL2	0
BARX1	3
BARX2	0
BASP1	30
BASP1P1	0
BATF	2
BATF2	1
BATF3	0
BAX	1
BAZ1A	4
BAZ1B	4
BAZ2A	6
BAZ2B	2
BBC3	0
BBIP1	0
BBOX1	0
BBOX1_AS1	3
BBS1	0
BBS10	0
BBS12	1
BBS2	0
BBS4	1
BBS5	1
BBS7	1
BBS9	0
BBX	1
BCAM	4
BCAN	1
BCAP29	0
BCAP31	5
BCAR1	5
BCAR3	2
BCAR4	0
BCAS1	7
BCAS2	0
BCAS3	1
BCAS4	2
BCAT1	5
BCAT2	0
BCCIP	3
BCDIN3D	0
BCDIN3D_AS1	0
BCHE	0
BCKDHA	3
BCKDHB	2
BCKDK	3
BCL10	1
